AGS;Name;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;AfD;FDP;DIE LINKE;GRÜNE;CSU;FREIE WÄHLER;Die PARTEI;Tierschutzpartei;NPD;PIRATEN;ÖDP;V-Partei³;DiB;BP;Tierschutzallianz;MLPD;Gesundheitsforschung;MENSCHLICHE WELT;DKP;Die Grauen;BüSo;Die Humanisten;Gartenpartei;du.;SGP;dieBasis;Bündnis C;BÜRGERBEWEGUNG;III. Weg;Bündnis21;LIEBE;LKR;PdF;LfK;SSW;Team Todenhöfer;UNABHÄNGIGE;Volt
9764;Memmingen, Stadt;29338;21571;120;21451;0;4117;2418;2596;664;2823;5920;1176;152;205;34;86;315;22;0;46;0;2;20;0;5;0;0;26;0;16;0;525;59;0;9;0;0;4;0;0;0;119;41;51
9771;Aichach-Friedberg;101891;85155;406;84749;0;12508;8298;9237;1503;10406;29480;7555;489;867;71;233;702;144;0;465;0;11;104;0;11;0;0;51;0;41;0;1895;73;0;32;0;0;15;0;0;0;166;234;158
9772;Augsburg;190013;153686;825;152861;0;25930;15064;16511;3362;19268;50131;12402;1044;1733;103;492;897;318;0;690;0;42;178;0;34;0;0;127;0;73;0;3076;138;0;66;0;0;34;0;0;0;481;340;327
9773;Dillingen a.d.Donau;72853;56922;299;56623;0;9118;7221;6153;1069;5047;19298;5005;290;566;84;190;212;87;0;197;0;7;62;0;12;0;0;28;0;26;0;1478;41;0;45;0;0;17;0;0;0;94;185;91
9774;Günzburg;90510;69505;419;69086;0;11431;8768;7811;1474;6434;21933;6096;477;1000;114;345;474;84;0;312;0;2;109;0;13;0;0;63;0;28;0;1316;70;0;47;0;0;13;0;0;0;286;175;211
9775;Neu-Ulm;124109;97008;590;96418;0;17801;10582;11636;2567;12446;29659;5016;640;1466;136;512;491;90;0;280;0;18;121;0;17;0;0;89;0;47;0;1462;128;0;45;0;0;26;0;0;0;594;259;290
9776;Lindau (Bodensee);60329;48073;263;47810;0;8865;3408;5507;1558;7945;14123;2964;365;524;20;148;363;73;0;128;0;2;42;0;4;0;0;48;0;31;0;1307;65;0;11;0;0;5;0;0;0;118;68;118
9777;Ostallgäu;107225;87880;431;87449;0;13119;7397;9169;2091;11063;28883;8673;674;887;66;289;703;153;0;612;0;11;77;0;8;0;0;61;0;52;0;2731;141;0;37;0;0;14;0;0;0;264;154;120
9778;Unterallgäu;109809;88795;438;88357;0;12174;10410;9901;1816;8604;28868;9504;554;978;118;274;1050;112;0;408;0;7;109;0;8;0;0;73;0;56;0;2541;162;0;59;0;0;21;0;0;0;196;214;140
9779;Donau-Ries;100768;81725;437;81288;0;14501;7801;7697;1517;8226;28784;7723;495;755;74;374;524;123;0;309;0;6;105;0;6;0;0;43;0;33;0;1519;64;0;42;0;0;85;0;0;0;151;242;89
9780;Oberallgäu;120092;98148;548;97600;0;14716;7539;11060;2173;13527;31793;9843;666;1060;55;233;647;171;0;333;0;5;105;0;22;0;0;58;0;53;0;2888;88;0;49;0;0;17;0;0;0;198;164;137
10041;Regionalverband Saarbrücken;238608;177702;2867;174835;36708;66549;16878;20265;15638;0;0;3004;3336;4901;469;1209;845;0;0;0;0;159;0;0;0;0;0;0;0;0;0;2278;0;0;0;0;0;0;0;0;0;853;0;1743
10042;Merzig-Wadern;78589;61966;1150;60816;15348;21771;5888;7541;3995;0;0;1238;1048;1791;139;304;228;0;0;0;0;19;0;0;0;0;0;0;0;0;0;956;0;0;0;0;0;0;0;0;0;160;0;390
10043;Neunkirchen;102989;77514;1426;76088;17141;29982;8620;7843;4892;0;0;1620;1207;2168;220;410;293;0;0;0;0;54;0;0;0;0;0;0;0;0;0;1017;0;0;0;0;0;0;0;0;0;226;0;395
10044;Saarlouis;151754;118636;2240;116396;28302;42530;11865;13820;7751;0;0;2454;2088;3294;253;682;440;0;0;0;0;66;0;0;0;0;0;0;0;0;0;1650;0;0;0;0;0;0;0;0;0;542;0;659
10045;Saarpfalz-Kreis;111998;89262;1429;87833;21067;31724;9387;10474;5805;0;0;2064;1372;2495;185;503;489;0;0;0;0;41;0;0;0;0;0;0;0;0;0;1327;0;0;0;0;0;0;0;0;0;334;0;566
10046;St. Wendel;71285;58883;1183;57700;16568;21221;4991;6002;3049;0;0;1366;927;1582;109;311;236;0;0;0;0;18;0;0;0;0;0;0;0;0;0;888;0;0;0;0;0;0;0;0;0;166;0;266
11100;Berlin, Ost, Stadt;1035769;782022;12293;769729;94682;171371;83284;60424;123546;157891;0;8190;14585;21718;1350;3208;1182;593;0;0;0;395;3040;0;1478;10247;391;1629;0;1109;220;0;0;0;0;0;0;683;0;0;0;3326;0;5187
11200;Berlin, West, Stadt;1433150;1074881;18029;1056852;195009;256918;70410;105513;85506;250642;0;8880;13753;23564;630;3708;1616;706;0;0;0;334;2110;0;677;9196;336;1793;0;1476;226;0;0;0;0;0;0;549;0;0;0;16842;0;6458
12051;Brandenburg an der Havel, Stadt;58011;38725;603;38122;5666;12835;6010;2876;3172;3673;0;934;579;923;66;198;70;0;0;0;0;20;0;0;52;0;0;54;0;0;0;503;0;0;0;0;0;0;0;0;0;83;287;121
